Depth,GR_1st,IGR,Vsh_1st,GR_2nd,GRc_2nd,Vsh_2nd,GR_3rd,GRc_3rd,Vsh+3rd
m,API,,,API,API,%,API,API,%
218.2,48.79,0.311377246,0.081836327,50.49,,13.02764686,48.43,,6.276294357
218.3,48.37,0.303264439,0.071019252,50.78,,13.75516807,46.49,,3.612327387
218.4,51.34,0.360633572,0.147511429,50.85,,13.93445698,47.2,,4.525684739
218.5,51.34,0.360633572,0.147511429,52.41,,18.33025097,48.35,,6.155516139
218.6,55.16,0.43442148,0.245895306,51.72,,16.28802164,49.25,,7.573825772
218.7,55.16,0.43442148,0.245895306,53.27,,21.11433906,50.38,,9.552757651
218.8,47.1,0.278732857,0.038310476,54.82,,26.88661322,51.38,,11.50837674
218.9,48.37,0.303264439,0.071019252,52.45,,18.45370502,49.39,,7.806598621
219,48.37,0.303264439,0.071019252,48.28,,8.215807519,47.98,,5.609773444
219.1,47.95,0.295151632,0.060202176,46.17,,4.636696512,47.05,,4.327077157
219.2,47.95,0.295151632,0.060202176,45.96,,4.325900079,46.6,,3.749466746
219.3,50.92,38.9864879,51.64865053,47.37,,6.564797735,46.16,,3.210175909
219.4,51.76,0.368746378,0.158328504,48.57,,8.7794662,47.62,,5.098513871
219.5,51.76,0.368746378,0.158328504,49.04,,9.734031661,49.24,,7.557328156
219.6,45.82,0.254008113,0.00534415,48.74,,9.118769507,49.24,,7.557328156
219.7,45.82,0.254008113,0.00534415,46.67,,5.407740822,50.6,,9.965756992
219.8,38.19,0.106625459,-0.191166055,45.58,,3.782311216,50.98,,10.70170324
219.9,39.88,0.139269847,-0.147640203,49.15,,9.965021776,50.64,,10.04186581
220,39.88,0.139269847,-0.147640203,49.74,,11.25530773,52.66,,14.32665338
,,,,,,,,,
,32.67,,,,,,,,
